Hotel Name,Address,Price
Living Soul Garden Hotel,"Ogbomosho, Oyo - 2, Adedoja Egunbiyi Street, Off Ayoka Road, Behind Ola-Oluwa Baptist Church, Randa, Ogbomosh","₦6,500"
Samgrace Royal Guest Inn,"Ogbomosho, Oyo - Adetoyese Idowu Street, Oke-anu, Ogbomosho",
Divine Grace Hotel,"Ogbomosho, Oyo - Behind Old Winners Chapel, Olukoko, Ogbomosho","₦4,000"
Hotel D'Kits,"Ogbomosho, Oyo - 7-24 Chapel Close Off Lautech Under G Road","₦5,500"
Siktiam Hotels Limited ,"Ogbomosho , Oyo - Ikirun Road, Ogbomosho, Ogbomosho South, Oyo ","₦3,000"
Olugbon Hotels,"Ogbomosho, Oyo - Ikoyi Road, Ogbomosho, Oyo State","₦4,500"
Ajarat Guest House,"Ogbomosho, Oyo - Ajagungbade Layout ,Lautech Road, Ogbomoso","₦3,000"
Six Star Int'l Hotel,"Ogbomosho, Oyo - Baptist High School Area, Ogbomoso, Ogbomoso","₦1,000"
Camp Zion Suites And Events Ext. 2,"Ogbomosho, Oyo - Aroje, Ogbomosho, Ogbomosho","₦2,500"
Treasure Palace Hotel ,"Ogbomosho, Oyo - Temidire Atoyebi Area, Before Ayegun College, Ogbomoso, Oyo State, Nigeria.","₦5,000"
"The Nest Hotel, Ogbomosho","Ogbomosho, Oyo - Along Ogbomosho-Ilorin Road, Beside Cocacola","₦7,000"
Destination Luxury Hotels,"Ogbomosho, Oyo - Besides Former Bank Phb, Ogbomoso Road, Starlight Junction, Sabo","₦12,000"
Knoxville Guest Inn,"Ogbomosho, Oyo - Behind Agbeke Hostel, Ogbomosho, Nigeria","₦9,000"
Wet Land Guest Inn,"Ogbomosho, Oyo - Wetland Street Off Inuofebi, Yoaro Area, Lautech, Ogbomoso","₦6,350"
Pectoria Guest House,"Ogbomosho, Oyo - No 92, Abogunde Road, Oke Anu, Ogbomosho","₦4,000"
Peaceland Guest House,"Ogbomosho, Oyo - Opp Nurudeen Secondary School First Gate Under G Road","₦3,000"
Abideb Guest Inn,"Ogbomosho, Oyo - Abideb Street","₦3,500"
Bolan Suite And Garden,"Ogbomosho, Oyo - Yoaco Area, Ogbomoso","₦4,000"
Camp Zion Suites ,"Ogbomosho, Oyo - Yoaco Area, Old Ilorin Road, Ogbomoso","₦2,500"
White Ox Hotel,"Ogbomosho, Oyo - Plot 1-4 Otamakun Road Baptist High School Area, Ogbomosho","₦7,350"
Philadelphia Guest House,"Ogbomosho, Oyo - Block V, Zone C, Oyewunmi Layout, Ogbomosho, Nigeria","₦2,700"
Jolanis Guest House,"Ogbomosho, Oyo - Fatimat Junction Under Lautech, Ogbomosho","₦3,500"
Abundant PG Inn,"Ogbomosho, Oyo - Along Hossana Hostel, Under-G Area, Ogbomoso","₦2,500"
Camp Zion Suites ,"Ogbomosho, Oyo - Aroje, Ogbomoso","₦2,500"
B Option Suite ,"Ogbomosho, Oyo - Isale General Area, Ogbomoso, Nigeria","₦4,000"
Doyin Guest House,"Ogbomosho North, Oyo - Sabo Road, Sabo, Ogbomosho",
New Star Inn,"Ogbomosho South,, Oyo -  Abepe Road, Ogbomosho, Ogbomosho South",
Kolarintz Royal Suite,"Ogbomosho South, Oyo -  LAUTECH Campus, Ogbomosho South","₦3,200"
Gilgal Guest House,"Ogbomosho South, Oyo -  Lautech Road, Aroje, Ogbomosho South",
Jastok Guest House,"Ogbomosho North, Oyo - Before Lautech 2nd Gate, Under G Area, Ogbomosho North",
Jonalis,"Ogbomosho, Oyo - Fatimat Junction, Along Under G Area","₦4,000"
Playon Hotels And Lounge,"Ogbomosho, Oyo - 14 Safejo NTA Area Ikoyi Road, Ogbomosho, Nigeria","₦3,500"
Luv Delight Palace,"Ogbomosho, Oyo - Agbara Olorupo Street, Ogbomosho, Nigeria","₦2,550"
Omo O Jeun Guest House,"Ogbomosho, Oyo - Along Ikoyi Road, Ogbomosho, Nigeria","₦3,000"
F.M Femisco Hotel,"Ogbomosho, Oyo - Along Old Oyo Road, By Trailer Park, Sabo, Ogbomosho, Nigeria","₦1,800"
KY Hotel,"Ogbomosho, Oyo - Oyo Daade Along Gedu-Oroki Road, Isale Oyo","₦3,420"
Whiteox Hotels,"Ogbomosho, Oyo - Plot 1-4 Otamakun Road Baptist High School Area, Ogbomosho",
Amazing Spring Hotel And Suites,"Ogbomosho, Oyo - Adewole Aareegbe Close, Under G Area, Ogbomoso",
Le Harve Hotels,"Ogbomosho, Oyo - Adjacent 1500LT, Under G, Ogbomoso, 210214, Ogbomosho",
Royal Crown Hotel,"Ogbomosho, Oyo - A1 Ogbomoso-Ilorin Rd, Ogbomosho",
Kolarintz Hotel And Suites,"Ogbomosho, Oyo - Ogbomosho - Ikirun Rd, Ogbomosho",
Olugbon Guest House,"Ogbomosho, Oyo - Kings Road, Ogbomosho",
